plan_id,crop_id,total_weightage,cmpl_total_weightage,primary_output,block_area,weight_score,yield_per_acre,stage_0_weight,cmpl_stage_0_weight,stage_1_weight,cmpl_stage_1_weight,stage_2_weight,cmpl_stage_2_weight,stage_3_weight,cmpl_stage_3_weight,stage_4_weight,cmpl_stage_4_weight,stage_5_weight,cmpl_stage_5_weight,stage_6_weight,cmpl_stage_6_weight,stage_7_weight,cmpl_stage_7_weight,stage_8_weight,cmpl_stage_8_weight,stage_9_weight,cmpl_stage_9_weight,seed_type,est_yld_per_acre,range_from,range_to
2659,869,325.25,186.25,5266,1.25,0.572636,4212.8,0,0,13.75,8.75,10,7.5,149,82.5,61,32.5,91.5,55,0,0,0,0,0,0,0,0,Variety,4249.21,2428.12,6070.29
2189,812,289.25,164.75,5300,0.5,0.569576,10600,0,0,11.25,6.25,12.5,10,136.5,113.5,101.5,35,27.5,0,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
258,811,266.25,127.25,9960,2,0.477934,4980,0,0,11.25,11.25,12.5,12.5,148.5,73.5,66.5,20,27.5,10,0,0,0,0,0,0,0,0,Variety,23269.46,20234.31,26304.61
1514,834,154.75,144.75,5373,3,0.935379,1791,0,0,13.75,8.75,10,7.5,36.5,36.5,87,87,7.5,5,0,0,0,0,0,0,0,0,Variety,9109.31,8097.16,10121.45
3178,805,143.75,138.75,6021,0.5,0.965217,12042,0,0,8.75,3.75,10,10,45,45,55,55,25,25,0,0,0,0,0,0,0,0,Variety,17199.17,16187.45,18210.88
1602,860,321.25,227.25,1391,0.5,0.707392,2782,0,0,11.25,6.25,12.5,10,131.5,99,62,42.5,104,69.5,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
3016,873,380.75,263.25,3865,0.5,0.691398,7730,0,0,11.25,6.25,15,12.5,108,74.5,182,135,64.5,35,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
2011,855,336.75,280.75,8111,2,0.833704,4055.5,0,0,13.75,8.75,10,7.5,81,72,96,96,136,96.5,0,0,0,0,0,0,0,0,Variety,17199.17,16187.45,18210.88
3452,889,366.75,329.75,56,3,0.899113,18.66666667,0,0,16.25,11.25,10,7.5,102.5,102.5,178,168.5,60,40,0,0,0,0,0,0,0,0,Variety,11128.87,10117.16,12140.59
3185,888,277.5,133.25,6686,1,0.48018,6686,0,0,13.75,8.75,12.5,10,123,100,88,9.5,39,5,1.25,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
2312,860,303.75,199.75,2830,0.5,0.657613,5660,0,0,11.25,6.25,12.5,10,102,82,79,49,99,52.5,0,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
1406,807,336.75,215.75,3414,2,0.640682,1707,0,0,21.25,3.75,10,5,98,53,125,74,82.5,80,0,0,0,0,0,0,0,0,Variety,15175.74,14164.02,16187.45
2791,888,277.5,238.5,1130,1,0.859459,1130,0,0,13.75,8.75,12.5,10,118,99,93,88,39,31.5,1.25,1.25,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
1743,137,192.25,172.25,750,0.38,0.895968,1973.684211,0,0,9.75,9.75,17.5,12.5,33.5,25,36.5,30,95,95,0,0,0,0,0,0,0,0,Variety,3035.15,2023.43,4046.86
1940,801,378.75,314.75,10530,1,0.831023,10530,0,0,11.25,6.25,15,12.5,66,47,204,184,82.5,65,0,0,0,0,0,0,0,0,Variety,27316.32,24281.18,30351.47
1285,140,231.25,187.25,66000,0.2,0.809729,330000,0,0,12.25,12.25,12.5,10,63.5,50,88,60,55,55,0,0,0,0,0,0,0,0,Variety,7082.01,6070.29,8093.73
2824,859,143.5,87,2681,0.4,0.606271,6702.5,0,0,15,10,12.5,10,68.5,54.5,0,0,47.5,12.5,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
98,810,119.5,89,3000,1,0.744769,3000,0,0,10,10,12.5,12.5,74.5,46.5,0,0,22.5,20,0,0,0,0,0,0,0,0,Variety,5058.58,4046.86,6070.29
3318,888,292.5,182.25,6369,0.38,0.623076,16760.52632,0,0,13.75,8.75,12.5,10,128,108,98,55.5,39,0,1.25,0,0,0,0,0,0,0,Variety,14164.02,12140.59,16187.45
1368,140,231.25,184.75,700,0.25,0.798918,2800,0,0,12.25,9.75,12.5,7.5,63.5,47.5,88,65,55,55,0,0,0,0,0,0,0,0,Variety,7082.01,6070.29,8093.73
3568,883,640.25,191.75,6,0.75,0.299492,8,0,0,13.75,8.75,12.5,10,80.5,76.5,308.5,76.5,225,20,0,0,0,0,0,0,0,0,Variety,9105.44,8093.73,10117.16
756,842,955.25,341.25,1964,3,0.357236,654.6666667,0,0,18.75,11.25,12.5,10,118,55,463.5,90,342.5,175,0,0,0,0,0,0,0,0,Variety,16194.33,14170.04,18218.62
