crop_area,crop_name,crop_id,avg_yield,avg_yield_area
0.25,CORIANDER – Leaf (Del/Nwl-Sum/Win),858,1500,6000
0.3,CORIANDER – Leaf (Del/Nwl-Sum/Win),858,3175,10583.33333
0.4,CORIANDER – Leaf (Del/Nwl-Sum/Win),858,193,482.5
0.5,CORIANDER – Leaf (Del/Nwl-Sum/Win),858,1410,2820
0.5,CORIANDER – Leaf (Del-Sum/Win),858,1797.5,3595
0.6,CORIANDER – Leaf (Del/Nwl-Sum/Win),858,2304.5,3840.833333
0.8,CORIANDER – Leaf (Del/Nwl-Sum/Win),858,2025,2531.25
1,CORIANDER – Leaf (Del/Nwl-Sum/Win),858,5760.5,5760.5
1,CORIANDER – Leaf (Del-Sum/Win),858,533,533
0.1,SPINACH (Del/Nwl-Sum/Win),859,2017,20170
0.1,SPINACH (Del-Sum/Win),859,590,5900
0.13,SPINACH (Del/Nwl-Sum/Win),859,1086,8353.846154
0.2,SPINACH (Del/Nwl-Sum/Win),859,1674.25,8371.25
0.2,SPINACH (Del-Sum/Win),859,1388,6940
0.3,SPINACH (Del/Nwl-Sum/Win),859,2096.5,6988.333333
0.3,SPINACH (Del-Sum/Win),859,790.5,2635
0.4,SPINACH (Del/Nwl-Sum/Win),859,3062.857142,7657.142857
0.4,SPINACH (Del-Sum/Win),859,2914.333333,7285.833333
0.5,SPINACH (Del/Nwl-Sum/Win),859,3964.5,7929
0.6,SPINACH (Del/Nwl-Sum/Win),859,3509.666666,5849.444444
0.8,SPINACH (Del/Nwl-Sum/Win),859,7110.5,8888.125
0.9,SPINACH (Del/Nwl-Sum/Win),859,3555,3950
0.9,SPINACH (Del-Sum/Win),859,1750,1944.444444
1,SPINACH (Del/Nwl-Sum/Win),859,5967.25,5967.25
0.04,CAULIFLOWER (Del/Nwl-Win),860,150,3750
0.1,CAULIFLOWER (Del/Nwl-Win),860,42,420
0.13,CAULIFLOWER (Del/Nwl-Win),860,1097,8438.461538
0.25,CAULIFLOWER (Del/Nwl-Win),860,2041.045454,8164.181818
0.3,CAULIFLOWER (Del/Nwl-Win),860,1154,3846.666667
0.5,CAULIFLOWER (Del/Nwl-Win),860,5384.5,10769
1.6,CAULIFLOWER (Del/Nwl-Win),860,17076,10672.5
0.3,POTATO (Del-Win),861,88,293.3333333
0.5,POTATO (Del-Win),861,307,614
0.67,POTATO (Del-Win),861,4255,6350.746269
1,POTATO (Del-Win),861,990,990
2,POTATO (Del-Win),861,13350,6675
0.6,CORN SWEET (Del/Nwl-Win),863,437,728.3333333
0.04,BROCCOLI (Del/Nwl-Win),865,251,6275
0.04,CARROT - BLACK (Del/Nwl-Win),866,240,6000
0.2,CARROT - BLACK (Del/Nwl-Win),866,1708,8540
0.1,MUSTARD LEAF (Del/Nwl-Win),867,351,3510
0.2,MUSTARD LEAF (Del/Nwl-Win),867,1225.5,6127.5
0.5,MUSTARD LEAF (Del/Nwl-Win),867,3217,6434
0.5,MUSTARD LEAF (Del-Win),867,2543,5086
1,MUSTARD LEAF (Del/Nwl-Win),867,6189,6189
0.08,PEAS GREEN (Del/Nwl-Win),869,280,3500
0.25,PEAS GREEN (Del/Nwl-Win),869,959.888888,3839.555556
0.38,PEAS GREEN (Del/Nwl-Win),869,1961.5,5161.842105
0.5,PEAS GREEN (Del/Nwl-Win),869,2277.7,4555.4
1.25,PEAS GREEN (Del/Nwl-Win),869,5266,4212.8
0.13,CABBAGE (Del/Nwl-Win),870,1309.25,10071.15385
0.25,CABBAGE (Del/Nwl-Win),870,3445.346153,13781.38462
0.3,CABBAGE (Del/Nwl-Win),870,3129,10430
0.38,CABBAGE (Del/Nwl-Win),870,6694,17615.78947
0.4,CABBAGE (Del/Nwl-Win),870,5988,14970
0.5,CABBAGE (Del/Nwl-Win),870,4706.25,9412.5
0.8,CABBAGE (Del/Nwl-Win),870,174,217.5
1,CABBAGE (Del/Nwl-Win),870,11604,11604
0.1,SPRING ONION (Del/Nwl-Sum/Win),871,1647,16470
0.2,SPRING ONION (Del/Nwl-Sum/Win),871,1756,8780
0.3,SPRING ONION (Del/Nwl-Sum/Win),871,2361.5,7871.666667
0.4,SPRING ONION (Del/Nwl-Sum/Win),871,1194,2985
0.6,SPRING ONION (Del/Nwl-Sum/Win),871,4514,7523.333333
0.04,TOMATO ROUND DESI (Del/Nwl-Win),876,221,5525
0.25,TURNIP (European) (Nwl-Win),878,2055,8220
0.04,KNOL KHOL (Del/Nwl-Win),879,338,8450
0.06,RED CABBAGE (Del/Nwl-Win),882,319,5316.666667
0.4,CUCUMBER HYBRID (Del/Nwl - Sum),886,173,432.5
0.13,WATERMELON  (Del/Nwl-Sum),888,2920,22461.53846
0.25,WATERMELON  (Del/Nwl-Sum),888,4338.333333,17353.33333
0.5,WATERMELON  (Del/Nwl-Sum),888,4745.333333,9490.666667
0.75,WATERMELON  (Del/Nwl-Sum),888,15986,21314.66667
1,WATERMELON  (Del/Nwl-Sum),888,9158,9158
