block_id,plan_id,farming_type,shade,sunlight_summer,sunlight_winter,crop_area,primary_output,yield_perunit_area
79,1507,N,0.00,6.00,5.00,0.13,1017.00,7823.0769230769
79,1602,N,0.00,6.00,5.00,0.25,1391.00,5564.0000000000
82,3124,N,0.00,6.00,5.00,0.40,1194.00,2985.0000000000
83,660,N,0.00,6.00,5.00,0.90,308.00,342.2222222222
83,662,N,0.00,6.00,5.00,0.90,677.00,752.2222222222
83,984,N,0.00,6.00,5.00,0.90,3313.00,3681.1111111111
83,667,N,0.00,6.00,5.00,0.50,4818.00,9636.0000000000
83,1648,N,0.00,6.00,5.00,0.90,1750.00,1944.4444444444
83,1695,N,0.00,6.00,5.00,1.10,1872.00,1701.8181818181
83,2126,N,0.00,6.00,5.00,1.10,4932.00,4483.6363636363
83,2154,N,0.00,6.00,5.00,0.90,3555.00,3950.0000000000
83,665,N,0.00,6.00,5.00,0.50,4773.00,9546.0000000000
85,774,N,0.00,6.00,5.00,0.40,508.00,1270.0000000000
85,779,N,0.00,6.00,5.00,0.40,1758.00,4395.0000000000
85,788,N,0.00,6.00,5.00,0.40,10785.00,26962.5000000000
85,789,N,0.00,6.00,5.00,0.40,6001.00,15002.5000000000
85,1154,N,0.00,6.00,5.00,0.60,3019.00,5031.6666666666
85,2176,N,0.00,6.00,5.00,0.80,174.00,217.5000000000
85,2177,N,0.00,6.00,5.00,0.20,783.00,3915.0000000000
86,1121,N,0.00,6.00,5.00,0.50,125.00,250.0000000000
88,428,N,0.00,6.00,5.00,0.50,1439.00,2878.0000000000
88,485,N,0.00,6.00,5.00,0.50,3455.00,6910.0000000000
91,468,N,0.00,6.00,5.00,0.25,710.00,2840.0000000000
91,469,N,0.00,6.00,5.00,0.25,2211.00,8844.0000000000
91,1420,N,0.00,6.00,5.00,0.25,3665.00,14660.0000000000
91,1437,N,0.00,6.00,5.00,0.25,417.00,1668.0000000000
91,2580,N,0.00,6.00,5.00,0.25,1498.00,5992.0000000000
93,425,N,0.00,6.00,5.00,0.50,4146.50,8293.0000000000
93,1482,N,0.00,6.00,5.00,0.25,2703.00,10812.0000000000
93,1483,N,0.00,6.00,5.00,0.25,1597.00,6388.0000000000
93,1904,N,0.00,6.00,5.00,0.25,2122.00,8488.0000000000
93,2186,N,0.00,6.00,5.00,0.13,1086.00,8353.8461538461
93,2269,N,0.00,6.00,5.00,0.25,2400.00,9600.0000000000
95,1589,N,0.00,6.00,5.00,0.13,852.00,6553.8461538461
96,1497,N,0.00,6.00,5.00,0.25,1142.00,4568.0000000000
96,1514,N,0.00,6.00,5.00,0.25,5373.00,21492.0000000000
96,1660,N,0.00,6.00,5.00,0.38,2280.00,6000.0000000000
96,1495,N,0.00,6.00,5.00,0.50,6079.00,12158.0000000000
96,1540,N,0.00,6.00,5.00,0.25,7520.00,30080.0000000000
96,2106,N,0.00,6.00,5.00,0.75,34504.00,46005.3333333333
96,1872,N,0.00,6.00,5.00,0.25,1009.00,4036.0000000000
96,1873,N,0.00,6.00,5.00,0.25,1887.00,7548.0000000000
97,1478,N,0.00,6.00,5.00,0.38,7370.00,19394.7368421052
97,1479,N,0.00,6.00,5.00,0.13,1933.00,14869.2307692307
97,1480,N,0.00,6.00,5.00,0.25,3708.00,14832.0000000000
98,1475,N,0.00,6.00,5.00,0.38,9020.00,23736.8421052631
98,1476,N,0.00,6.00,5.00,0.25,8386.00,33544.0000000000
98,1477,N,0.00,6.00,5.00,0.25,6896.00,27584.0000000000
98,2165,N,0.00,6.00,5.00,0.13,2308.00,17753.8461538461
98,2093,N,0.00,6.00,5.00,0.25,4251.00,17004.0000000000
98,2094,N,0.00,6.00,5.00,0.50,3928.00,7856.0000000000
99,1973,N,0.00,6.00,5.00,0.50,4722.00,9444.0000000000
100,706,N,0.00,6.00,5.00,2.50,23000.00,9200.0000000000
102,792,N,0.00,6.00,5.00,0.50,774.00,1548.0000000000
102,793,N,0.00,6.00,5.00,0.25,1103.00,4412.0000000000
102,794,N,0.00,6.00,5.00,2.00,4506.00,2253.0000000000
102,1708,N,0.00,6.00,5.00,0.25,1118.00,4472.0000000000
102,1710,N,0.00,6.00,5.00,0.25,5781.00,23124.0000000000
102,729,N,0.00,6.00,5.00,0.50,322.00,644.0000000000
102,2489,N,0.00,6.00,5.00,0.63,4374.00,6942.8571428571
103,2011,N,0.00,6.00,5.00,0.50,8111.00,16222.0000000000
104,1966,N,0.00,6.00,5.00,0.50,6047.00,12094.0000000000
104,1661,N,0.00,6.00,5.00,0.38,9817.00,25834.2105263157
104,2390,N,0.00,6.00,5.00,0.13,12871.00,99007.6923076923
104,1884,N,0.00,6.00,5.00,0.50,11853.00,23706.0000000000
105,1748,N,0.00,6.00,5.00,0.25,2577.00,10308.0000000000
105,1967,N,0.00,6.00,5.00,0.25,1579.00,6316.0000000000
105,1968,N,0.00,6.00,5.00,0.25,3203.00,12812.0000000000
105,2338,N,0.00,6.00,5.00,0.25,1768.00,7072.0000000000
105,1746,N,0.00,6.00,5.00,0.25,2288.00,9152.0000000000
105,2190,N,0.00,6.00,5.00,0.25,1514.00,6056.0000000000
106,725,N,0.00,6.00,5.00,0.13,587.50,4519.2307692307
106,726,N,0.00,6.00,5.00,0.13,1400.00,10769.2307692307
109,452,N,0.00,6.00,5.00,0.50,2000.00,4000.0000000000
110,453,N,0.00,6.00,5.00,0.50,7000.00,14000.0000000000
110,1615,N,0.00,6.00,5.00,0.50,4300.00,8600.0000000000
110,1160,N,0.00,6.00,5.00,0.50,752.00,1504.0000000000
110,2697,N,0.00,6.00,5.00,0.50,14758.00,29516.0000000000
111,454,N,0.00,6.00,5.00,0.50,7000.00,14000.0000000000
111,2706,N,0.00,6.00,5.00,0.50,13910.00,27820.0000000000
112,455,N,0.00,6.00,5.00,0.50,5859.00,11718.0000000000
112,1385,N,0.00,6.00,5.00,0.50,6384.00,12768.0000000000
112,2692,N,0.00,6.00,5.00,0.50,13910.00,27820.0000000000
113,972,N,0.00,6.00,5.00,0.13,680.00,5230.7692307692
113,973,N,0.00,6.00,5.00,0.25,436.50,1746.0000000000
113,1585,N,0.00,6.00,5.00,0.25,3929.00,15716.0000000000
114,823,N,0.00,6.00,5.00,0.25,134.50,538.0000000000
114,836,N,0.00,6.00,5.00,0.25,2975.00,11900.0000000000
115,473,N,0.00,6.00,5.00,1.25,15812.00,12649.6000000000
115,1707,N,0.00,6.00,5.00,0.25,3449.00,13796.0000000000
115,1706,N,0.00,6.00,5.00,0.25,603.00,2412.0000000000
116,477,N,0.00,6.00,5.00,0.50,6000.00,12000.0000000000
117,1200,N,0.00,6.00,5.00,0.25,1143.00,4572.0000000000
118,478,N,0.00,6.00,5.00,0.50,961.00,1922.0000000000
118,2166,N,0.00,6.00,5.00,0.25,3022.00,12088.0000000000
118,2168,N,0.00,6.00,5.00,0.25,2912.00,11648.0000000000
119,481,N,0.00,6.00,5.00,0.80,12656.00,15820.0000000000
119,479,N,0.00,6.00,5.00,0.80,2756.00,3445.0000000000
120,690,N,0.00,6.00,5.00,0.25,2054.00,8216.0000000000
123,728,N,0.00,6.00,5.00,0.75,5398.00,7197.3333333333
125,2005,N,0.00,6.00,5.00,0.04,221.00,5525.0000000000
125,2480,N,0.00,6.00,5.00,0.04,189.00,4725.0000000000
126,1938,N,0.00,6.00,5.00,0.04,487.00,12175.0000000000
126,1939,N,0.00,6.00,5.00,0.04,161.00,4025.0000000000
126,1950,N,0.00,6.00,5.00,0.08,280.00,3500.0000000000
126,1935,N,0.00,6.00,5.00,0.04,240.00,6000.0000000000
126,1936,N,0.00,6.00,5.00,0.06,319.00,5316.6666666666
126,2003,N,0.00,6.00,5.00,0.04,150.00,3750.0000000000
126,2004,N,0.00,6.00,5.00,0.04,251.00,6275.0000000000
126,2481,N,0.00,6.00,5.00,0.04,201.00,5025.0000000000
128,563,N,0.00,6.00,5.00,3.00,42749.70,14249.9000000000
129,620,N,0.00,6.00,5.00,0.50,6621.00,13242.0000000000
131,790,N,0.00,6.00,5.00,0.50,1058.00,2116.0000000000
131,795,N,0.00,6.00,5.00,0.50,884.00,1768.0000000000
131,2132,N,0.00,6.00,5.00,0.50,1764.00,3528.0000000000
131,1404,N,0.00,6.00,5.00,0.50,464.00,928.0000000000
133,591,N,0.00,6.00,5.00,0.50,1794.00,3588.0000000000
133,1348,N,0.00,6.00,5.00,0.50,240.00,480.0000000000
135,1637,N,0.00,6.00,5.00,0.25,749.00,2996.0000000000
136,1634,N,0.00,6.00,5.00,0.13,347.00,2669.2307692307
137,1614,N,0.00,6.00,5.00,0.25,1582.00,6328.0000000000
141,2891,N,0.00,6.00,5.00,0.25,5800.00,23200.0000000000
141,2082,N,0.00,6.00,5.00,0.25,1023.00,4092.0000000000
152,675,C,0.00,6.00,5.00,0.45,200.00,444.4444444444
158,1383,C,0.00,6.00,5.00,0.50,2100.00,4200.0000000000
163,937,C,28.00,13.60,7.30,0.35,2800.00,8000.0000000000
164,1099,C,0.00,6.00,5.00,1.00,13950.00,13950.0000000000
165,938,C,0.00,6.00,5.00,0.50,6000.00,12000.0000000000
165,1597,C,0.00,6.00,5.00,0.50,10000.00,20000.0000000000
167,641,N,0.00,6.00,5.00,0.50,7519.00,15038.0000000000
168,888,N,0.00,6.00,5.00,0.50,1465.00,2930.0000000000
173,1494,N,0.00,6.00,5.00,0.25,2080.00,8320.0000000000
173,2310,N,0.00,6.00,5.00,0.13,874.00,6723.0769230769
173,692,N,0.00,6.00,5.00,0.25,2170.00,8680.0000000000
174,1435,N,0.00,6.00,5.00,0.50,3970.00,7940.0000000000
174,1925,N,0.00,6.00,5.00,0.25,3189.00,12756.0000000000
174,694,N,0.00,6.00,5.00,0.25,2450.00,9800.0000000000
177,1724,N,0.00,6.00,5.00,0.25,5178.00,20712.0000000000
177,1725,N,0.00,6.00,5.00,0.25,1809.00,7236.0000000000
177,1836,N,0.00,6.00,5.00,0.25,4263.00,17052.0000000000
177,2023,N,0.00,6.00,5.00,0.25,5190.00,20760.0000000000
177,3006,N,0.00,6.00,5.00,0.50,8439.00,16878.0000000000
178,772,N,0.00,6.00,5.00,0.50,3864.50,7729.0000000000
178,1918,N,0.00,6.00,5.00,0.25,4500.00,18000.0000000000
178,1917,N,0.00,6.00,5.00,0.25,2874.00,11496.0000000000
179,723,N,0.00,6.00,5.00,0.25,155.50,622.0000000000
179,2187,N,0.00,6.00,5.00,0.25,1228.00,4912.0000000000
179,2188,N,0.00,6.00,5.00,0.25,2055.00,8220.0000000000
179,2500,N,0.00,6.00,5.00,0.25,2380.00,9520.0000000000
179,2961,N,0.00,6.00,5.00,0.75,17656.00,23541.3333333333
180,2092,N,0.00,6.00,5.00,0.25,2418.00,9672.0000000000
180,2010,N,0.00,6.00,5.00,0.25,1665.00,6660.0000000000
180,1822,N,0.00,6.00,5.00,0.25,1842.00,7368.0000000000
181,1916,N,0.00,6.00,5.00,0.25,1103.00,4412.0000000000
181,2312,N,0.00,6.00,5.00,0.25,2830.00,11320.0000000000
182,724,N,0.00,6.00,5.00,0.25,523.00,2092.0000000000
184,978,N,0.00,6.00,5.00,0.25,1636.00,6544.0000000000
184,1704,N,0.00,6.00,5.00,0.25,5870.00,23480.0000000000
184,2025,N,0.00,6.00,5.00,0.13,1320.00,10153.8461538461
184,2030,N,0.00,6.00,5.00,0.25,2063.00,8252.0000000000
184,2031,N,0.00,6.00,5.00,0.25,3140.00,12560.0000000000
184,2028,N,0.00,6.00,5.00,0.38,2244.00,5905.2631578947
189,811,N,0.00,6.00,5.00,1.50,1200.00,800.0000000000
189,881,N,0.00,6.00,5.00,1.50,846.00,564.0000000000
190,969,N,0.00,6.00,5.00,0.60,4047.00,6745.0000000000
190,1342,N,0.00,6.00,5.00,0.60,721.00,1201.6666666666
191,898,N,0.00,6.00,5.00,0.50,193.00,386.0000000000
